Имя файла		Содержание
------------		---------------
AdvenAnd		применение операции логического И
Assign			пример перегрузки оператора присваивания (=)
Assign2			возврат содержимого указателя this
BINIO			Двоичный ввод/вывод целочисленных данных
BlankCin		ввод строкии с пробелами
Bubble			Демонстрация метода пузырьков сортировки массива
ClassHelp		Версия справочной системы на классе (окончательная)
ClassVehicle		Демонстрация класса
CompFiles		Создание средства сравнения файлов
Constructor		Использование параметризованного конструктора
CopyStr			копирует одну строку в другую
Days			показ количества дней с начала года и до введенной даты
DiskFun			Чтение из файла и запись нескольких объектов
DoWhileDemo		применение цикла do while
DoWhileDemoContinue	применение цикла do while с оператором continue
Employ			демонстрация наследования классов. база данных сотрудников
Employ2			демонстрация нескольких уровней наследования
Employ3			демонстрация множественного наследования
Employ4			демонстрация включения вместо наследования
EnglMult		программа демонстрирует множественное наследование
EnglPtr			доступ к членам класса через указатель
Factorial		подсчет факториала числа с помощью цикла for
Ferrors			Проверка ошибок открытия файла
ForDemo			Демонстрирует работу простейшего цикла for
Formati			форматированное чтение из файла с использованием >>
Formato			форматированный вывод в файл с использованием <<
FriClass		Демонстрация использования дружествнных классов
FuncArgStruct		передача структурных переменных в функцию
FuncArgUmolch		применение аргументов по умолчанию
FuncDemo		демонстрация применения функций
FuncDemo2		объявления функций без прототипа
Friend			Дружественные функции
FriSq			Дружественные функции2
FuncReturnStruct	демонстрирует возвращение функцией структурной перемененной
FunctCallDemo		Программа демонстрации использовании функции
FuncVozvrDemo		демонстрация механизма возврата значения из функции
FuttoMeter		Программа переводит футы в метры
FuttoMeterTable		Программа преобразует футы в метры таблицей
GenericQ		Шаблонный класс очереди
Gipotenuza		Программа расчета гипотенузы треугольника через теорему Пифагора с фукцией sqrt()
GravMoonEach		Программа преобразует футы в метры таблицей
Help			Простая справочная система
Help2			Простая справочная система2
Help3			Окончательная версия справочной системы
if_prime		применение цикла if для определения простых чисел
ifdemo			применение оператора if
ifelsedemo		применение оператора if else
Iline			Файловый ввод (извлечение из файла) строк
InChar			Посимвольный файловый ввод
InChar2			Файловый ввод символов2
Ipers			Чтение объекта из файла
Koder XOR		Программа для кодирования и декодирования сообщения через оператор XOR
LinkList		реализация простого связного списка
Mars			Программа расчета задержки радиосигнала между Марсом и Землей
Nasl_Counter1		наследование класса Counter для добавления деинкримента
NewStr			использование оператора new для  выделения памяти под строку, конструктор и деструктор
NotVirt			доступ к обычным методам через указатели
NewIntro		оператор new - выделение памяти у операционной системы
Obj_part		использование строки как члена класса
Ochar			Посимвольный файловый вывод
Oline			Файловый вывод строк с пробелами
OOP_ClassDemo		ДЕМОНСТРИРУЕТ ПРОСТОЙ НЕБОЛЬШОЙ ОБЪЕКТ
OOP_Counter		счетчик в качестве объекта
OOP_Counter2		применение перегрузки оператора для счетчика
OOP_Counter3		применение перегрузки оператора для счетчика. Постфиксная форма ++.
OOP_EnglObj		длинны в английской системе в качестве объектов
OOP_EnglObj2		конструкторы, использование объектов в качестве аргументов функций и перегрузка конструкторов
OOP_EnglObj3		инициализация объектов с помощью копирующего конструктора
OOP_EnglObj4		демонстрирует возвращение функцией объекта
OOP_EnglObj5		константные методы и константные аргументы
OOP_EnglObj6		демонстрация константных объектов
OOP_EnglObj7		демонстрирует массив объектов
OOP_ObjPart		детали изделия в качестве объектов
OOP_Statdata		демонстрирует применение статического поля класса
Opers			Сохранение объекта в файле
PartAray		Массив из структур
PassArray		передача массива в функцию по указателю
PassPtr			передача аргумента в функцию по указателю
PassRef			передача аргумента в функцию по ссылке
Perecisleniya		применение перечислений
Peregruz_oper_addeqls	перегрузка операции +=
Peregruz_oper_sravn_str	перегрузка операции == для строк
Peregruz_oper_String	перегрузка операции + для строк
Peregruzka_Oper_eng_1	перегрузка операции + для сложения переменных типа Distance
Peregruzka_oper_Sravn	перегрузка операции < для сравнения длинн
PerSort			сортировка объектов через массив указателей на них
Print			Создание перегруженных функций print() и println() для отображения данных различного типа
PtrAcc			доступ к переменной через указатель
PtrAray			массив указателей на строки
PtrForder		сортировка двух аргументов по указателю
PtrNote			доступ к элементу массива через указатель
PtrNote2		доступ к элементу массива через указатель2
PtrObjs			массив указателей на объекты
PtrSort			сортировка массива с использованием указателей
PtrStr			показ строки, определеной через указатель
PtrTo			присвоение значения одной переменной другой через указатель
PtrVar			демонстрация указателей на переменные
Queue			Класс очереди для хранения символов
QuickSortDemo		Версия реализации алгоритма Quick Sort для сортировки символов
ReadString		Считывание строки с клавиатуры в массив
ReadString2Gets		Считывание строки с клавиатуры в массив c помощью функции gets()
Recurs			Демонстрация рекурсии
RegPayCredit		Программа расчитыват сумму платежей по кредиту
ReloadFunc		перегрузка функций
Replay			запись в массив иформации, введенной пользователем и вывод ее на экран
ReturnDemo		Использование функции Return
Rewerr			Обработка ошибок ввода/вывода
SafeTyin		избежание переполнения буфера(захода за границы массива)
Saleinit		Инициализация многомерных массивов
Salemon			использование двухмерного массива для показа графика продаж
Sales			определение среднего числа в массиве
Sample COUT		Первая простейшая программа с демонстрацией cout
Sample2 CIN		Вторая простейшая программа с демонстрацией cin
Seekg			Поиск конкретного объекта в файле
SstrChar		доступ к символам в строке(объект класса string)
Sstrclass		использование стандартного класса string
SstrFind		поиск подстрок
Sstrio			ввод вывод для стандартного класса string
StackArray		реализация стека на програмном уровне
StaticVar		демонстрирует статические локальные переменные
SstrModif		модификация объектов класса string
Str_obj			строка как свой класс для операций присваивания
StrAray			массив строк
StrAray2		массив строк
StatFunc		Статические функции и ID объектов. Так же отображает использование деструкторов
StrCopy			копирование строки с использованием цикла
StrRev			Реверсирование содержимой строки "по месту"
StructDemo		структура для хранения информации о деталях изделий
StructDemo2		инициализая структурных переменных
StructDemo3		английская система мер, реализованная с помощью структуры
StructDemo4		использование вложенных структур
SwitchDemo		Простой генератор пословиц, демонстрирующий применение инструкции switch
TrancToSsylkaFunc	применение ссылочного механизма передачи аргументов
TruckDemo		Программа, в которой использутся класс Vehicle
UslOperDemo		применение условного тернарного оператора
VarAddr			получение адреса переменной
VihiclePrav		Определние конструктора, деструктора и функии range()  в качестве встраиваемых функций
Virt			доступ к виртуальным функциям через указатели
VirtPers		виртуальные функции и класс person
VirtPure		чистая виртуальная функция
Where			Применение указателя this
WhileDemo		применение цикла while
Xohxref			конструктор копирования: X(X&)
XOR Iskl		Создание оператора исключающее ИЛИ
